Date,Confirmed,Recovered,Deaths,Increase rate
13-06-20,7755445,3706353,430695,1.759518594
14-06-20,7888575,3777131,434041,1.716600401
15-06-20,8010360,3857338,437545,1.543814948
16-06-20,8149939,3955169,444334,1.742480987
17-06-20,8325831,4073955,449605,2.158200202
18-06-20,8464706,4155099,454614,1.668001669
19-06-20,8645640,4250107,460883,2.137510742
20-06-20,8803904,4365932,465151,1.830564308
21-06-20,8934807,4434628,469208,1.486874459
22-06-20,9072666,4526333,472779,1.542943233
23-06-20,9238013,4630391,478203,1.822474232
24-06-20,9405649,4746118,483377,1.814632649
25-06-20,9583608,4838921,489928,1.892043813
26-06-20,9774609,4945557,494773,1.992996792
27-06-20,9952423,5051864,499291,1.819141819
28-06-20,10117641,5140899,502450,1.660078154
29-06-20,10273510,5235813,506076,1.54056662
30-06-20,10447879,5353205,511268,1.697268022
01-07-20,10664168,5469134,516253,2.070171372
02-07-20,10871926,5754006,521361,1.948187613
03-07-20,11076086,5863847,526419,1.877864143
04-07-20,11269114,6059565,530767,1.742745587
05-07-20,11452196,6179006,534280,1.624635264
06-07-20,11620096,6302626,538058,1.466094363
07-07-20,11829602,6447656,544163,1.802962729
08-07-20,12041480,6605607,549468,1.791083081
09-07-20,12268518,6740124,554924,1.885465906
10-07-20,12498467,6879521,560209,1.874301362
11-07-20,12717908,7005299,565138,1.755743324
12-07-20,12910357,7116957,569128,1.513212708
13-07-20,13103290,7257369,573042,1.494404841